sku,title
1,MICRO FIRBE TRS  & COL TRS
2,MF LS SHIRT
3,MF SS SHT
4,MF SUIT
5,COLOUR SUIT
6,PINSTRIP PINSTRIP 
7,M/TWIST VEST
8,SATIN VEST
9,MF VEST BLACK
10,"VARCE PIN STRIP B3/19,35"
11,BOY SUIT
12,SATIN TIE & BOW TIE
13, BOY MF TRS
14,BOY MF SHT
15,PC BUS' SHT
16,Y6377
17,V069 V069
18,V069 KID
19,URBAN SHT SM361 SM305
20,VARCE POLY/W 31332/10 3208
21,POLY/W VEST TRS & 3208 TRS
22,"POLY WOOL TRS 2019,31332"
23,"PURE WOOL 31226, 31333"
24,PURE W TRS VEST 03T/29
25,PURE WOOL 50685/4SUIT
26,PURE W 31081/W1.4
27,PURE W 31081/2TR VEST
28,PURE W 31820/2A 31820/2D 21564/2A
29,PURE WOOL SLIM FIT SUIT
30,"LW TRIM SUIT D246, 1985"
31,SPUER 100 SUIT
32,POLY WOOL TRS
33,POLY VISCOVE  SUIT
34,POLY VISCOSE TRS/VEST
35,POLY VISCOVE KID SUITS
36,INJECTION LW SUIT
37,SWEATER A3118
38,NEW KNITS 2014
39,JACKET 1602
40,BOY VEST
41,"FASHION TIE, P-TIE"
42,WINTER COAT 3/4 5062.00 5064.00
43,VARCE JACKET Y04
44,JKT 3803-2 3803-1
45,PV ZIP 81570.00 JKT 86181.00
46,"COAT SPORT PURE WOOL 38184/2-1 379-1,"
47,SHOES 2201.00
48,2032/13 SPORTS JKT 3208 NAVY OTHER
49,M/TWIST SUIT
50,M/TWIST TRS
51,PIN TRS VEST B3/19 TRS
52,SHOES 4602#
53,MAVERICK SUIT
54,DPC BUS' SHT
55,FC BUS' SHT 1143 SHIRT
56,"URBAN D06,07,08"
57,3104W/67TRS
58,LW SUIT
59,LW TRS / VEST
60,NZ SUITS  (FASHION PV)
61,398/28 W4
62,NZ03 F2017
63,K05048/6 2018/4 SLIM TRIM
64,DINNER SUIT D78169/36
65,PINSTRIP 12TRS
66,PINSTRIP 12'V
67,POLY RIB POLY RIB SUIT
68,POLY RIB TRS
69,"5218,  9128BLK,  8346"
70,1080/3 203/1
71,1178/4
72,COLOUR VEST 
73,PURE W 50685.00 VEST TRS
74,"PURE W 31081,/W2.3"
75,MIRNING 31081 MORNING
76,MONTAL CP5545 DINNER SUIT 2 PCS
77,TAIL 7089/15
78,"6366, 6365, 6364, 1857,4602,9637"
79,FA FB CUFFINS SHIRTS
80,DNS 058 DNS 044
81,PIN STR' BOY SUIT
82,"9637, 9638,  9636,6364 SHOES"
83,TRS 31820/2D
