priceid,sku,title,Customer,Price
14999,1186,1544/5 SPORT COAT,"MICK T""S CLOTHING",65
15000,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",SACKS MENSWEAR,55.00 / 16.50
15001,444,RFS/AF028 TRS,BONAMEN-BLACKBURN,15
15002,489,3208 SUIT,STEP UP,97.9
15003,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",OPAL MALE FASHION ,55.00 / 16.50 / 65 BIG
15004,863,3474 SHIRT,BRIDAL EMPORIUM,25.00 / 28 BIG
15005,583,PURE WOOL SUIT,C & J KERRIS MENSWEAR,145
15006,1188,93375M JACKET,WORKIN CLOBBER,25
15007,546,016 JACKET,WORKIN CLOBBER,25
15008,535,3208 W2 SUIT,HEILBRONNS MENSLAND,99
15009,1150,A5330/39 SUIT,"NO 12 / 21-RFS, CHERMSIDE",75 / 22.50
15010,1189,1544 SPORT COAT,M&S,65
15011,1190,"93375, 016,005,028 JACKET ",THE MALE CONNETION,25
15012,951,4641 JACKET,THE MALE CONNETION,25
15013,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT","NO 12 / 21-RFS, CHERMSIDE",55 / 16.5 / 65 BIG
15014,253,"TRIM SUIT, T128 (W2)",BROWNS MENSLAND 03/02/10,95 / 25
15015,851,"1034 , 1090 BOY SHIRT",BROWNS MENSLAND 03/02/10,19
15016,1191,"15501/2, 15501/3 SUIT",STRICTLY FORMAL,55 / 16.50
15017,1192,8793/5 SPORT COAT,BONANNO'S MENSWEAR,60
15018,1193,5682/1 KNIT,BONAMAN-BROADMEADOWS,15
15019,1194,8093/17 SUIT,"NO 12 / 21-RFS, CHERMSIDE",50 SPECIAL
15020,1195,FATBOY TIE,STEP UP,14.85
15021,550,LEATHER JACKET,KEV KAZEN 05/10/10,95.00 04/06/15
15022,1072,37089/2 SUIT,THE SUIT GUYS,59
15023,1196,L/S COTTON POLO ,"NO 12 / 21-RFS, CHERMSIDE",10
15024,1197,22160/5 SUIT ,NEW PARK SUIT HIRE ,85 / 120 / 23
15025,1197,22160/5 SUIT ,SK MENSWEAR BLACK TOWN,75 / 19.50
15026,1198,1303/96 SUIT,SK MENSWEAR BLACK TOWN,65 / 17.90
15027,1199,"15501/2,15501/3 SUIT ",ENVY U CLOTHING,50
15028,1200,VELVET SUIT,JOHNS FORMAL ,85
15029,1197,22160/5 SUIT ,GRANT RULES MENSWEAR,79
15030,1197,22160/5 SUIT ,JON KELL @ 23/05/2013 UP DATE,75 / 21 
15031,1197,22160/5 SUIT ,M&S,75 / 110 BIG / 22.5 TRS
15032,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",ORIGIN CLOTHING,55 / 15.00
15033,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",GEORGE GOOLEY,50 / 16 / 60 BIG
15034,1197,22160/5 SUIT ,MICHAEL MOUBARAK T/AS PLOT,79.00 / 23 
15035,1202,1280/5 SUIT,TALISMAN,85
15036,1203,"15501/3,15501/2 SUIT",THE ILLAWARRA WEDDING CENTRE,55 / 16.50 TRS & VEST
15037,944,3855 JACKET ,SACKS MENSWEAR,35
15038,1204,8793 S/COAT,PARKES MENSLAND,39
15039,654,1090 SHIRT ,RUNDLE TAILORING,22
15040,1205,1319 & 1303 SUIT,BONAMAN-F/F 22/04/15,65 / 16.5
15041,1023,"1090 , 1034 BOY SHIRT",ELITE SHOP,16.5
15042,1196,L/S COTTON POLO ,MS MENSWEAR- CAMPBELLTOWN,10
15043,1149,3208 TAIL SUIT,CHEHADE BROS,120
15044,1076,PV VEST,HORTON APPAREL PTY LTD,20
15045,1197,22160/5 SUIT ,"MICK T""S CLOTHING",75.00 / 22.50 TRS
15046,944,3855 JACKET ,SK MENSWEAR BLACK TOWN,25
15047,863,3474 SHIRT,RUNDLE TAILORING,25
15048,1206,9234 JUMPER,BEST DRESSED MAN,35
15049,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",INNOCENTI ,57.5
15050,1197,22160/5 SUIT ,FORMALWEAR 2 SUIT U,75 / 22.50 / BIG 90 / 28 
15051,1207,1319/3 SUIT,FORMALWEAR 2 SUIT U,65 / 75 BIG/ 19.5
15052,474,BOY TRIM SUIT,STEP UP,71.5 / 22
15053,1208,"1090, V069 SHIRT",BRIDAL EMPORIUM,22 / 25 
15054,550,LEATHER JACKET,S & C,95
15055,497,PURE WOOL TRS,S & C,20
15056,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",LEOTTA'S EMPROIUM,55 / 16.50
15057,1210,ASSORTED PURE WOOL TRS,S & C,19
15058,526,PC SHIRT,SK MENSWEAR BLACK TOWN,12.5
15059,1265,"15501/2 , 3 SUIT",MENSLAND PORT PIRIE,55 / 15.00
15060,1212,15501 SUIT,SUITS ON Q,55 / 16.50 
15061,603,MF COL SUIT ,BLACK JACKET SUITING,75
15062,1213,1303/96 JACKET ONLY,COLBEST DESIGN,45.00 JACKET / 65 SUIT /19.5 TRS
15063,150,"1034 SHIRT  , 1090 SHIRT",ELITE SHOP,17.5 / 20.8  
15064,1214,MF WHITE DINNER JACKET W2,CALABRO,65
15065,98,SUIT BAGS,CALABRO,1.8
15066,1197,22160/5 SUIT ,"NO 12 / 21-RFS, CHERMSIDE",75 / 90 BIG / 22.50
15067,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",MAN POWER 28/04/10,50 / 15 
15068,1207,1319/3 SUIT,THE WEDDING SHOPPE - DUBBO,65 / 19.5 V & T/ 80 BIG
15069,535,3208 W2 SUIT,SQUIRE SHOPPE,99
15070,1197,22160/5 SUIT ,SUITS ON Q,85 / 25 
15071,1215,1280 VELVET SUIT,ANNA RO,85
15072,1216,1544 SUIT,ANNA RO,65
15073,1217,1303 SUIT,ANNA RO,65
15074,1218,1319 SUIT,ANNA RO,65 / 19.50
15075,1011,9346 SPORT COAT,ANNA RO,69
15076,1219,22160 SUIT,SACKS MENSWEAR,75
15077,444,RFS/AF028 TRS,MOSS CLOTHING,15
15078,444,RFS/AF028 TRS,REUBEN F. SCARF NEWCASTLE / CHERMSIDE,15
15079,967,MF FABRIC,NEW PARIS ,5
15080,559,JM06 JACKET ,"MICK T""S CLOTHING",40
15081,535,3208 W2 SUIT,THE WEDDING CENTRE,95.00 / 125 BIG
15082,884,6501 JACKET,SK MENSWEAR BLACK TOWN,10
15083,1220,1319/3 BOY SUIT ,JOE LICHAA,50 / 15 
15084,863,3474 SHIRT,JUST FORMAL - DARWIN,20
15085,1207,1319/3 SUIT,"NO 12 / 21-RFS, CHERMSIDE","65 / 19.5, BOY 50/ 15"
15086,533,5502/5 SUIT,LICHAA -- PARRAMATTA,70 / 18.50
15087,1221,1544 SPORTS COAT,THE PREMIER STORE,75
